"A 행정구역(시군구)별",M202004 2020. 04,M202004 2020. 04,M202004 2020. 04,M202005 2020. 05,M202005 2020. 05,M202005 2020. 05,M202006 2020. 06,M202006 2020. 06,M202006 2020. 06
"A 행정구역(시군구)별",T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
"41430 의왕시",164701,82049,82652,164150,81782,82368,163622,81480,82142
"41450 하남시",279621,140443,139178,281340,141301,140039,283256,142312,140944
"41460 용인시",1068519,530251,538268,1070987,531727,539260,1073115,532935,540180
"41461 처인구",254483,130446,124037,255729,131298,124431,256918,132115,124803
"41463 기흥구",439725,217252,222473,440274,217566,222708,440831,217823,223008
"41465 수지구",374311,182553,191758,374984,182863,192121,375366,182997,192369
"41480 파주시",455262,231142,224120,455471,231256,224215,456073,231522,224551
"41500 이천시",216844,111858,104986,217547,112430,105117,218465,113002,105463
"41550 안성시",184211,94781,89430,185018,95278,89740,185305,95447,89858
"41570 김포시",445425,223443,221982,447038,224224,222814,449039,225141,223898
"41590 화성시",831888,431049,400839,834378,432499,401879,836662,433894,402768
"41610 광주시",375561,192208,183353,376753,192894,183859,377525,193232,184293
"41630 양주시",224524,113980,110544,225069,114236,110833,226015,114757,111258
"41650 포천시",148144,78234,69910,148081,78242,69839,148015,78233,69782
"41670 여주시",111198,56492,54706,111234,56545,54689,111341,56582,54759
"41800 연천군",43618,22882,20736,43689,22930,20759,43618,22851,20767
"41820 가평군",62397,32067,30330,62566,32175,30391,62662,32242,30420
"41830 양평군",117301,58837,58464,117456,58902,58554,117701,59048,58653
"42 강원도",1537780,773468,764312,1538639,773923,764716,1539282,774325,764957
"42110 춘천시",281492,138867,142625,281439,138877,142562,281400,138835,142565
"42130 원주시",351421,174467,176954,351979,174701,177278,352201,174812,177389
"42150 강릉시",213037,105639,107398,212929,105604,107325,212863,105593,107270
"42170 동해시",90233,45698,44535,90366,45769,44597,90454,45832,44622
"42190 태백시",43251,21856,21395,43254,21847,21407,43203,21839,21364
"42210 속초시",81713,40393,41320,81792,40436,41356,82059,40583,41476
"42230 삼척시",65887,33402,32485,65834,33390,32444,65753,33329,32424
"42720 홍천군",68688,35194,33494,68832,35290,33542,68998,35452,33546
"42730 횡성군",46232,23669,22563,46276,23699,22577,46442,23787,22655
"42750 영월군",38762,20002,18760,38759,19996,18763,38840,20054,18786
"42760 평창군",41758,21394,20364,41779,21376,20403,41739,21339,20400
"42770 정선군",37036,19232,17804,37025,19224,17801,37046,19236,17810
"42780 철원군",45093,23476,21617,45084,23475,21609,44987,23401,21586
"42790 화천군",24627,13318,11309,24657,13336,11321,24717,13372,11345
"42800 양구군",22375,11801,10574,22378,11802,10576,22332,11789,10543
"42810 인제군",31506,17027,14479,31548,17051,14497,31554,17052,14502
"42820 고성군",26959,13926,13033,26921,13910,13011,26886,13884,13002
"42830 양양군",27710,14107,13603,27787,14140,13647,27808,14136,13672
"43 충청북도",1596613,809005,787608,1596710,809114,787596,1597593,809657,787936
"43110 청주시",840938,423544,417394,841540,423859,417681,842821,424561,418260
"43112 서원구",200275,99428,100847,199866,99211,100655,198950,98807,100143
"43114 청원구",194407,99576,94831,194449,99589,94860,194025,99344,94681
"43111 상당구",182086,90664,91422,182516,90910,91606,184165,91750,92415
"43113 흥덕구",264170,133876,130294,264709,134149,130560,265681,134660,131021
"43130 충주시",210188,106310,103878,210190,106327,103863,210173,106312,103861
"43150 제천시",133638,67030,66608,133513,66966,66547,133395,66925,66470
"43720 보은군",32699,16465,16234,32653,16454,16199,32578,16406,16172
"43730 옥천군",50778,25608,25170,50802,25618,25184,50802,25585,25217
"43740 영동군",47963,23828,24135,47832,23762,24070,47736,23723,24013
"43745 증평군",37320,19357,17963,37302,19353,17949,37178,19285,17893
"43750 진천군",81483,42652,38831,81584,42709,38875,81742,42813,38929
"43760 괴산군",37694,19271,18423,37566,19207,18359,37493,19202,18291
"43770 음성군",94461,50020,44441,94336,49965,44371,94288,49951,44337
"43800 단양군",29451,14920,14531,29392,14894,14498,29387,14894,14493
"44 충청남도",2118457,1080256,1038201,2118510,1080425,1038085,2119771,1081224,1038547
"44270 당진시",166136,87969,78167,166098,87974,78124,166084,88015,78069
"44130 천안시",654251,333525,320726,655192,333991,321201,657514,335230,322284
"44131 동남구",259211,131359,127852,258857,131186,127671,258996,131239,127757
"44133 서북구",395040,202166,192874,396335,202805,193530,398518,203991,194527
"44150 공주시",105743,53019,52724,105611,52952,52659,105440,52838,52602
"44180 보령시",100646,50931,49715,100602,50917,49685,100647,50987,49660
"44200 아산시",313757,162676,151081,313761,162712,151049,313054,162398,150656
"44210 서산시",174645,90593,84052,174801,90756,84045,174884,90822,84062
"44230 논산시",118032,59039,58993,117812,58911,58901,117696,58862,58834
"44250 계룡시",42757,21294,21463,42696,21272,21424,42803,21319,21484
"44710 금산군",51781,26064,25717,51746,26057,25689,51665,26034,25631
"44760 부여군",66214,32826,33388,66086,32746,33340,65919,32648,33271
"44770 서천군",52374,25898,26476,52247,25843,26404,52209,25829,26380
"44790 청양군",31139,15761,15378,31034,15712,15322,30994,15678,15316
"44800 홍성군",99973,49723,50250,100013,49731,50282,99980,49711,50269
"44810 예산군",78726,39524,39202,78618,39497,39121,78610,39464,39146
"44825 태안군",62283,31414,30869,62193,31354,30839,62272,31389,30883
"45 전라북도",1811619,900628,910991,1810097,899894,910203,1808802,899137,909665
"45110 전주시",655713,322894,332819,655607,322832,332775,655472,322788,332684
"45111 완산구",338965,165196,173769,338482,164941,173541,338697,165043,173654
"45113 덕진구",316748,157698,159050,317125,157891,159234,316775,157745,159030
"45130 군산시",268667,135704,132963,268558,135674,132884,268356,135579,132777
"45140 익산시",285255,142088,143167,284746,141842,142904,284217,141545,142672
"45180 정읍시",109763,54410,55353,109646,54361,55285,109503,54267,55236
"45190 남원시",81170,39786,41384,81067,39729,41338,81051,39703,41348
"45210 김제시",83391,41337,42054,83384,41319,42065,83327,41262,42065
