사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-06,2호선,34,서초,24,0,"1,287","5,264","7,339","21,389","14,525","50,593","23,075","122,348","24,434","92,693","17,990","39,509","23,207","27,941","21,759","22,005","27,928","27,916","30,225","27,406","36,256","21,558","41,669","20,766","67,524","21,411","105,378","24,213","47,626","16,116","28,338","9,666","29,084","8,315","21,121","7,760","5,720","4,362",2,1,0,1,1,2,0,0,2020-07-03 13:43:21
2020-06,2호선,35,방배,12,0,"2,913","3,646","9,580","13,633","23,576","28,922","32,066","73,323","24,876","44,092","16,865","21,434","16,420","17,591","17,923","17,995","20,351","20,385","20,908","20,207","23,956","20,526","28,989","21,522","41,937","29,103","69,669","38,597","29,208","27,980","20,965","17,260","20,586","15,727","17,640","16,567","5,801","9,349",1,2,0,0,0,1,0,0,2020-07-03 13:43:21
2020-06,2호선,36,사당,202,8,"13,307","3,680","25,514","29,158","74,371","42,290","99,606","63,627","69,966","48,803","40,993","37,137","36,471","40,225","41,500","40,499","43,815","43,625","43,974","44,176","45,488","52,823","50,463","69,092","64,930","99,159","90,975","153,545","60,465","114,288","52,011","64,687","58,951","58,052","59,057","57,245","28,302","37,785",19,"3,113",2,1,0,1,0,0,2020-07-03 13:43:21
2020-06,2호선,37,낙성대(강감찬),45,0,"12,027","1,896","26,431","9,389","81,805","20,759","125,763","36,141","78,984","30,551","37,882","23,250","30,928","20,579","32,805","23,189","33,786","24,897","29,939","26,997","31,524","31,781","33,732","36,985","40,413","54,223","48,257","95,751","28,454","85,382","21,458","53,081","20,224","48,272","16,705","49,566","6,954","30,319",1,692,0,1,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,38,서울대입구(관악구청),"3,627",18,"29,040","2,689","44,191","14,223","129,575","31,027","184,662","64,441","117,457","60,936","62,144","45,260","53,111","42,039","57,194","45,193","59,935","51,705","54,943","52,612","58,716","59,283","66,232","68,143","73,522","95,588","87,038","169,987","53,789","145,162","45,525","86,016","46,748","77,196","43,414","78,020","17,751","54,795",3,"7,995",0,1,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,39,봉천,60,1,"15,453","1,697","29,010","7,610","82,322","13,752","119,493","25,238","70,604","20,648","35,738","18,230","28,328","18,302","29,561","19,305","29,097","21,616","25,394","24,243","25,204","31,233","27,625","34,767","29,018","49,955","33,043","85,312","19,852","71,323","15,795","43,248","13,968","39,989","11,427","38,843","3,756","23,716",3,455,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,40,신림,298,12,"40,615","4,687","77,403","20,999","207,033","33,380","310,092","60,572","179,708","51,013","90,297","40,571","71,898","41,458","75,653","47,044","72,526","54,526","66,273","61,045","63,807","77,939","72,676","91,429","79,558","132,650","85,342","245,737","56,606","218,665","48,334","132,866","47,300","122,887","42,305","116,885","18,708","83,173",5,484,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,41,신대방,159,0,"26,144","2,337","36,287","9,742","89,914","18,397","128,616","33,926","75,704","20,880","39,498","16,169","30,298","16,928","30,534","19,547","28,937","22,000","25,235","25,045","24,615","33,709","28,164","38,675","32,894","56,368","41,296","91,743","23,863","78,867","17,236","51,599","13,597","54,005","10,334","53,001","4,494","33,720",0,84,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,42,구로디지털단지,314,16,"39,040","7,350","52,684","24,898","140,382","78,009","182,178","249,403","110,506","156,227","60,413","57,696","51,521","43,560","54,949","42,219","58,364","49,113","52,864","50,967","56,175","60,207","68,394","65,886","121,465","100,213","223,833","159,296","114,547","131,162","64,254","80,492","53,042","77,878","43,298","77,265","16,384","49,387",3,220,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,43,대림(구로구청),659,12,"34,441","3,626","29,030","12,041","66,491","23,315","92,426","59,317","60,191","37,745","32,926","28,112","27,940","26,364","29,564","25,875","28,613","26,839","27,303","27,663","28,289","35,820","31,682","38,241","42,075","56,670","56,023","72,557","29,200","53,289","20,065","37,226","15,563","46,258","11,737","45,972","5,271","22,250",5,845,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,44,신도림,"3,514",28,"36,486","5,280","49,884","19,094","134,346","41,482","134,678","113,065","83,564","68,861","53,092","57,701","49,488","52,197","56,233","55,964","59,131","59,247","59,120","57,218","60,758","63,530","69,327","73,029","92,382","98,585","127,951","164,841","75,687","126,178","61,744","71,517","62,514","63,512","44,858","65,708","19,193","46,851",49,"13,686",0,0,1,0,0,0,2020-07-03 13:43:21
2020-06,2호선,45,문래,6,3,"3,555","1,713","13,158","10,165","42,221","34,427","43,556","121,526","24,599","58,486","17,238","21,208","16,355","17,802","18,547","18,428","19,247","20,285","20,115","19,579","21,608","19,728","27,325","21,924","48,488","29,415","104,960","52,482","37,405","38,712","23,950","20,476","23,833","17,674","19,715","16,851","7,929","9,532",5,758,2,2,1,1,0,0,2020-07-03 13:43:21
2020-06,2호선,46,영등포구청,26,4,"5,851","3,042","13,446","12,947","42,082","35,786","45,502","124,054","28,017","52,972","20,641","25,784","21,558","21,219","22,344","22,317","23,709","23,540","24,550","22,347","26,943","23,012","33,103","25,183","50,540","32,094","106,280","53,293","36,179","36,494","25,719","20,835","24,953","19,284","18,814","18,689","6,836","12,507",4,829,0,0,0,0,0,0,2020-07-03 13:43:21
2020-06,2호선,47,당산,64,5,"6,548","3,728","17,255","13,837","46,942","29,864","55,717","82,247","32,709","41,189","20,494","19,446","19,500","16,654","19,783","18,455","20,497","20,508","19,587","20,036","20,290","22,522","25,028","27,168","38,419","41,604","64,489","73,502","29,326","51,138","21,622","31,108","22,291","28,621","20,204","26,576","8,440","18,105",6,713,1,1,0,2,0,0,2020-07-03 13:43:21
