"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"서울특별시 성동구 송정동(1120072000)","10,913","10,913","569","634","1,730","1,676","1,625","2,021","1,561","750","296","43","8"
"서울특별시 성동구 용답동(1120079000)","12,082","12,082","468","672","2,052","1,709","1,828","2,269","1,600","1,030","413","37","4"
"서울특별시 광진구 (1121500000)","349,574","349,574","20,639","26,686","62,568","57,165","53,563","55,069","41,560","22,281","8,577","1,255","211"
"서울특별시 광진구 화양동(1121571000)","22,360","22,360","427","780","9,354","4,326","2,206","2,084","1,659","1,042","395","64","23"
"서울특별시 광진구 군자동(1121573000)","19,952","19,952","927","1,107","4,401","3,679","2,619","2,943","2,332","1,366","506","62","10"
"서울특별시 광진구 중곡제1동(1121574000)","15,759","15,759","809","780","2,728","2,979","2,233","2,595","2,047","1,148","374","57","9"
"서울특별시 광진구 중곡제2동(1121575000)","22,159","22,159","1,269","1,439","3,938","4,013","3,062","3,641","2,738","1,482","488","80","9"
"서울특별시 광진구 중곡제3동(1121576000)","16,881","16,881","790","1,039","2,693","2,760","2,420","2,996","2,355","1,300","453","61","14"
"서울특별시 광진구 중곡제4동(1121577000)","29,894","29,894","1,610","2,053","4,539","4,556","4,327","5,415","4,247","2,281","736","102","28"
"서울특별시 광진구 능동(1121578000)","11,684","11,684","594","556","2,401","2,694","1,634","1,476","1,241","743","293","48","4"
"서울특별시 광진구 광장동(1121581000)","35,749","35,749","3,446","5,597","4,124","4,040","7,815","5,347","2,949","1,478","802","140","11"
"서울특별시 광진구 자양제1동(1121582000)","22,856","22,856","1,083","1,534","4,317","3,850","3,454","3,667","2,778","1,525","557","77","14"
"서울특별시 광진구 자양제2동(1121583000)","26,185","26,185","1,740","1,973","3,931","4,125","4,181","4,339","3,531","1,672","588","93","12"
"서울특별시 광진구 자양제3동(1121584000)","28,939","28,939","2,427","2,663","4,029","4,423","4,665","4,690","3,493","1,599","819","118","13"
"서울특별시 광진구 자양제4동(1121584700)","18,192","18,192","757","915","2,730","2,689","2,567","3,244","2,959","1,638","599","79","15"
"서울특별시 광진구 구의제1동(1121585000)","22,295","22,295","930","1,239","4,825","4,334","3,245","3,252","2,408","1,429","557","62","14"
"서울특별시 광진구 구의제2동(1121586000)","27,160","27,160","1,875","2,417","3,746","3,976","4,484","4,524","3,412","1,907","701","94","24"
"서울특별시 광진구 구의제3동(1121587000)","29,509","29,509","1,955","2,594","4,812","4,721","4,651","4,856","3,411","1,671","709","118","11"
"서울특별시 동대문구 (1123000000)","345,593","345,593","21,501","24,666","56,126","50,989","51,593","53,931","45,632","28,113","11,153","1,587","302"
"서울특별시 동대문구 용신동(1123053600)","30,917","30,917","1,331","1,478","5,965","5,274","4,252","4,719","4,016","2,580","1,116","162","24"
"서울특별시 동대문구 제기동(1123054500)","24,981","24,981","1,078","1,442","4,305","3,360","3,176","3,865","3,860","2,596","1,123","151","25"
"서울특별시 동대문구 전농제1동(1123056000)","30,471","30,471","1,947","2,018","4,682","4,442","4,451","4,977","4,153","2,540","1,079","139","43"
"서울특별시 동대문구 전농제2동(1123057000)","19,405","19,405","1,304","1,799","2,418","2,372","3,111","3,310","2,666","1,622","713","79","11"
"서울특별시 동대문구 답십리제1동(1123060000)","29,206","29,206","2,772","2,014","4,031","5,427","4,686","4,335","3,183","1,866","759","102","31"
"서울특별시 동대문구 답십리제2동(1123061000)","29,807","29,807","1,889","2,111","4,019","4,520","4,491","5,049","4,133","2,496","957","121","21"
"서울특별시 동대문구 장안제1동(1123065000)","38,706","38,706","2,635","2,667","5,240","6,405","6,431","6,097","5,324","2,832","904","147","24"
"서울특별시 동대문구 장안제2동(1123066000)","33,240","33,240","3,001","2,894","3,937","5,285","5,810","5,004","4,190","2,254","734","114","17"
"서울특별시 동대문구 청량리동(1123070500)","20,969","20,969","889","1,213","2,492","2,446","2,729","3,731","3,797","2,489","1,004","148","31"
"서울특별시 동대문구 회기동(1123071000)","10,396","10,396","470","737","3,106","1,454","1,342","1,214","968","701","334","59","11"
"서울특별시 동대문구 휘경제1동(1123072000)","13,731","13,731","801","832","3,126","2,195","1,734","2,028","1,531","1,001","411","63","9"
"서울특별시 동대문구 휘경제2동(1123073000)","24,450","24,450","1,316","2,161","5,255","3,048","3,582","3,567","2,926","1,810","665","108","12"
"서울특별시 동대문구 이문제1동(1123074000)","18,593","18,593","729","1,387","4,666","2,188","2,509","2,604","2,185","1,520","673","97","35"
"서울특별시 동대문구 이문제2동(1123075000)","20,721","20,721","1,339","1,913","2,884","2,573","3,289","3,431","2,700","1,806","681","97","8"
"서울특별시 중랑구 (1126000000)","394,414","394,414","23,635","27,525","56,031","58,354","58,319","69,966","56,521","30,967","11,328","1,569","199"
"서울특별시 중랑구 면목제2동(1126052000)","25,309","25,309","1,366","1,687","3,454","3,448","3,876","4,993","3,590","2,045","731","107","12"
"서울특별시 중랑구 면목제4동(1126054000)","19,286","19,286","1,124","1,248","2,529","2,787","3,021","3,333","2,855","1,801","496","82","10"
"서울특별시 중랑구 면목제5동(1126055000)","9,556","9,556","521","652","1,255","1,415","1,441","1,793","1,396","793","258","28","4"
"서울특별시 중랑구 면목본동(1126056500)","35,084","35,084","1,759","2,104","5,265","5,517","5,227","6,484","4,830","2,809","948","115","26"
"서울특별시 중랑구 면목제7동(1126057000)","22,477","22,477","1,247","1,317","3,103","3,486","3,223","3,995","3,454","1,899","654","87","12"
"서울특별시 중랑구 면목제3.8동(1126057500)","26,073","26,073","1,239","1,608","3,864","3,774","3,669","4,739","3,956","2,293","816","105","10"
"서울특별시 중랑구 상봉제1동(1126058000)","25,133","25,133","1,945","2,047","3,662","3,722","3,656","4,526","3,226","1,617","643","87","2"
"서울특별시 중랑구 상봉제2동(1126059000)","19,714","19,714","812","870","3,920","4,068","2,623","3,139","2,417","1,339","446","69","11"
"서울특별시 중랑구 중화제1동(1126060000)","20,515","20,515","1,338","1,399","2,985","3,311","2,872","3,463","3,006","1,507","558","71","5"
"서울특별시 중랑구 중화제2동(1126061000)","26,135","26,135","1,133","1,272","3,868","3,784","3,657","5,129","4,067","2,271","847","90","17"
"서울특별시 중랑구 묵제1동(1126062000)","35,700","35,700","2,556","3,219","4,951","5,144","5,979","5,618","4,572","2,551","968","120","22"
"서울특별시 중랑구 묵제2동(1126063000)","19,554","19,554","1,165","1,265","2,806","3,148","2,950","3,194","2,918","1,521","512","63","12"
"서울특별시 중랑구 망우본동(1126065500)","30,516","30,516","1,526","1,943","4,247","4,111","4,189","5,835","4,935","2,591","969","152","18"
"서울특별시 중랑구 망우제3동(1126066000)","17,378","17,378","853","1,234","2,379","2,232","2,503","3,383","2,693","1,464","541","81","15"
"서울특별시 중랑구 신내1동(1126068000)","40,459","40,459","3,597","3,855","5,079","5,395","6,128","6,714","5,417","2,837","1,206","214","17"
"서울특별시 중랑구 신내2동(1126069000)","21,525","21,525","1,454","1,805","2,664","3,012","3,305","3,628","3,189","1,629","735","98","6"
"서울특별시 성북구 (1129000000)","441,812","441,812","30,057","38,439","67,142","61,234","71,370","69,723","53,944","33,713","13,832","1,983","375"
"서울특별시 성북구 성북동(1129052500)","16,986","16,986","829","1,254","2,757","2,539","2,627","2,737","2,019","1,408","667","135","14"
"서울특별시 성북구 삼선동(1129055500)","24,000","24,000","1,221","2,017","4,314","3,415","3,825","3,730","2,672","1,869","801","101","35"
"서울특별시 성북구 동선동(1129057500)","15,673","15,673","584","1,033","4,436","2,556","2,081","1,891","1,473","1,090","445","67","17"
"서울특별시 성북구 돈암제1동(1129058000)","15,561","15,561","871","1,419","2,124","2,023","2,284","2,777","2,154","1,276","548","72","13"
"서울특별시 성북구 돈암제2동(1129059000)","24,742","24,742","2,153","2,874","3,008","3,127","4,621","4,038","2,647","1,474","668","121","11"
"서울특별시 성북구 안암동(1129060000)","15,489","15,489","484","956","5,032","2,107","1,763","2,108","1,495","1,029","448","53","14"
"서울특별시 성북구 보문동(1129061000)","16,156","16,156","1,019","1,023","2,806","2,731","2,502","2,597","1,862","1,084","446","70","16"
