"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"경기도 포천시 내촌면(4165032000)","4,647","4,647","132","217","447","353","567","1,106","1,021","495","281","27","1"
"경기도 포천시 가산면(4165033000)","7,736","7,736","238","418","794","621","925","1,964","1,575","706","423","72","0"
"경기도 포천시 신북면(4165034000)","12,675","12,675","718","1,002","1,511","1,273","1,723","2,564","2,186","1,069","533","89","7"
"경기도 포천시 창수면(4165035000)","2,197","2,197","48","85","204","124","213","394","548","379","185","17","0"
"경기도 포천시 영중면(4165036000)","4,901","4,901","202","277","422","303","535","1,039","1,072","672","329","47","3"
"경기도 포천시 일동면(4165037000)","9,491","9,491","523","707","966","874","1,208","1,619","1,804","1,077","595","111","7"
"경기도 포천시 이동면(4165038000)","6,172","6,172","516","370","832","849","613","938","994","686","335","35","4"
"경기도 포천시 영북면(4165039000)","8,588","8,588","652","473","983","1,040","881","1,375","1,460","1,046","555","108","15"
"경기도 포천시 관인면(4165040000)","2,798","2,798","63","145","228","118","274","553","648","498","239","29","3"
"경기도 포천시 화현면(4165041000)","2,762","2,762","205","155","284","344","279","475","525","305","166","23","1"
"경기도 포천시 포천동(4165051000)","18,786","18,786","1,292","1,912","2,552","1,985","2,843","3,582","2,590","1,327","597","95","11"
"경기도 포천시 선단동(4165052000)","14,385","14,385","739","1,223","1,874","1,434","2,329","3,219","2,138","911","458","54","6"
"경기도 여주시 (4167000000)","111,341","111,341","7,624","9,699","12,089","11,750","16,079","20,132","17,797","10,176","5,168","780","47"
"경기도 여주시 가남읍(4167025000)","15,604","15,604","1,083","1,308","1,648","1,874","2,258","2,827","2,444","1,342","709","101","10"
"경기도 여주시 점동면(4167031000)","4,609","4,609","176","276","455","296","410","873","1,016","670","387","49","1"
"경기도 여주시 흥천면(4167032000)","5,042","5,042","181","283","421","354","518","1,002","1,133","697","385","67","1"
"경기도 여주시 금사면(4167033000)","2,987","2,987","100","140","239","194","284","589","730","454","214","42","1"
"경기도 여주시 능서면(4167034000)","6,413","6,413","301","441","548","517","708","1,204","1,282","856","473","82","1"
"경기도 여주시 대신면(4167035000)","7,124","7,124","229","436","617","465","733","1,368","1,578","1,004","599","91","4"
"경기도 여주시 북내면(4167036000)","4,901","4,901","150","383","401","307","608","987","980","640","384","56","5"
"경기도 여주시 강천면(4167037000)","4,178","4,178","144","261","350","315","494","857","857","550","290","58","2"
"경기도 여주시 산북면(4167038000)","2,560","2,560","117","143","213","190","273","453","591","367","187","24","2"
"경기도 여주시 여흥동(4167051000)","22,018","22,018","1,628","2,057","2,830","2,582","3,557","3,909","3,128","1,540","675","102","10"
"경기도 여주시 중앙동(4167052000)","18,596","18,596","1,431","2,288","2,383","2,036","3,187","3,310","2,265","1,153","477","62","4"
"경기도 여주시 오학동(4167053000)","17,309","17,309","2,084","1,683","1,984","2,620","3,049","2,753","1,793","903","388","46","6"
"경기도 연천군 (4180000000)","43,618","43,618","2,862","3,230","5,408","4,290","5,024","7,244","7,321","5,058","2,736","399","46"
"경기도 연천군 연천읍(4180025000)","7,930","7,930","731","464","1,226","1,043","820","1,088","1,088","883","505","77","5"
"경기도 연천군 전곡읍(4180025300)","19,259","19,259","1,633","1,938","2,463","2,187","2,683","3,192","2,629","1,523","838","152","21"
"경기도 연천군 군남면(4180031000)","3,270","3,270","98","189","338","207","295","602","696","498","310","32","5"
"경기도 연천군 청산면(4180032000)","3,975","3,975","142","193","461","286","416","726","847","568","282","47","7"
"경기도 연천군 백학면(4180033000)","2,666","2,666","91","153","244","187","252","520","542","434","223","18","2"
"경기도 연천군 미산면(4180034000)","1,767","1,767","46","71","151","114","146","349","450","274","144","20","2"
"경기도 연천군 왕징면(4180035000)","1,017","1,017","22","51","81","58","88","151","233","225","97","10","1"
"경기도 연천군 신서면(4180036000)","2,814","2,814","63","125","349","153","242","443","646","507","252","32","2"
"경기도 연천군 중면(4180037000)","199","199","9","10","44","11","19","32","35","24","13","1","1"
"경기도 연천군 장남면(4180038000)","721","721","27","36","51","44","63","141","155","122","72","10","0"
"경기도 가평군 (4182000000)","62,662","62,662","3,505","4,790","6,195","5,895","8,010","11,489","11,788","6,857","3,577","510","46"
"경기도 가평군 가평읍(4182025000)","19,597","19,597","1,191","1,728","2,223","1,960","2,674","3,511","3,168","1,931","1,057","138","16"
"경기도 가평군 설악면(4182031000)","9,559","9,559","557","822","846","810","1,140","1,772","1,943","1,000","564","101","4"
"경기도 가평군 청평면(4182032500)","14,148","14,148","666","1,017","1,333","1,259","1,985","2,695","2,632","1,654","784","113","10"
"경기도 가평군 상면(4182033000)","5,598","5,598","167","342","523","373","569","1,130","1,340","727","375","48","4"
"경기도 가평군 조종면(4182034500)","9,769","9,769","771","660","1,014","1,199","1,223","1,650","1,736","972","477","58","9"
"경기도 가평군 북면(4182035000)","3,991","3,991","153","221","256","294","419","731","969","573","320","52","3"
"경기도 양평군 (4183000000)","117,701","117,701","7,434","9,703","10,491","10,958","16,367","20,905","21,894","12,849","6,090","942","68"
"경기도 양평군 양평읍(4183025000)","30,591","30,591","2,296","3,303","3,531","3,266","4,854","5,405","4,254","2,385","1,141","141","15"
"경기도 양평군 강상면(4183031000)","10,205","10,205","949","907","796","1,232","1,639","1,669","1,655","892","405","57","4"
"경기도 양평군 강하면(4183032000)","4,656","4,656","167","249","320","388","507","911","1,172","679","217","45","1"
"경기도 양평군 양서면(4183033000)","13,392","13,392","732","1,039","1,229","1,214","1,820","2,433","2,594","1,556","654","110","11"
"경기도 양평군 옥천면(4183034000)","7,796","7,796","487","550","731","770","1,021","1,390","1,581","860","348","55","3"
"경기도 양평군 서종면(4183035000)","9,585","9,585","647","812","598","832","1,506","1,732","1,975","1,005","400","73","5"
"경기도 양평군 단월면(4183036000)","3,876","3,876","127","240","262","298","462","691","907","569","286","34","0"
"경기도 양평군 청운면(4183037000)","3,742","3,742","118","155","237","207","373","683","937","603","378","43","8"
"경기도 양평군 양동면(4183038000)","4,560","4,560","141","193","280","295","393","890","1,147","700","437","76","8"
"경기도 양평군 지평면(4183039500)","6,817","6,817","230","390","484","406","709","1,298","1,604","1,015","571","107","3"
"경기도 양평군 용문면(4183040000)","17,385","17,385","1,317","1,535","1,614","1,661","2,470","2,882","2,940","1,883","912","163","8"
"경기도 양평군 개군면(4183041000)","5,096","5,096","223","330","409","389","613","921","1,128","702","341","38","2"
"강원도  (4200000000)","1,539,282","1,539,282","107,641","139,764","179,041","168,403","225,843","268,566","232,937","135,719","69,687","10,854","827"
"강원도 춘천시 (4211000000)","281,400","281,400","21,923","27,298","36,944","34,462","42,559","47,007","36,880","21,050","11,303","1,867","107"
"강원도 춘천시 신북읍(4211025000)","7,791","7,791","366","478","833","702","921","1,469","1,388","946","597","87","4"
"강원도 춘천시 동면(4211031000)","19,645","19,645","2,256","2,426","1,891","2,515","3,558","3,093","2,296","1,003","505","101","1"
"강원도 춘천시 동산면(4211032000)","1,494","1,494","28","67","130","97","120","273","381","227","157","13","1"
"강원도 춘천시 신동면(4211033000)","2,581","2,581","112","144","255","207","267","515","556","285","216","23","1"
"강원도 춘천시 남면(4211034000)","1,104","1,104","25","38","42","74","91","219","269","190","133","22","1"
"강원도 춘천시 서면(4211035000)","3,865","3,865","123","190","246","235","360","740","916","576","391","81","7"
"강원도 춘천시 사북면(4211036000)","2,577","2,577","75","153","176","118","232","504","633","412","230","43","1"
"강원도 춘천시 북산면(4211038000)","949","949","16","22","38","39","65","188","286","196","88","11","0"
"강원도 춘천시 동내면(4211039000)","17,343","17,343","1,518","1,723","2,166","2,441","2,890","2,807","2,110","1,039","556","89","4"
"강원도 춘천시 남산면(4211040000)","3,538","3,538","84","165","256","270","371","702","872","519","250","46","3"
"강원도 춘천시 교동(4211052000)","3,600","3,600","109","192","830","425","392","522","524","378","202","23","3"
"강원도 춘천시 조운동(4211053000)","2,969","2,969","93","146","414","317","370","529","516","347","195","40","2"
"강원도 춘천시 약사명동(4211054500)","2,341","2,341","93","123","277","226","270","422","411","301","170","45","3"
"강원도 춘천시 근화동(4211057000)","8,961","8,961","978","684","1,056","1,463","1,207","1,288","1,078","752","379","71","5"
"강원도 춘천시 소양동(4211058000)","9,987","9,987","826","762","1,246","1,325","1,406","1,751","1,325","831","431","73","11"
"강원도 춘천시 후평1동(4211060000)","12,004","12,004","569","889","1,903","1,379","1,575","2,061","1,863","1,116","552","92","5"
"강원도 춘천시 후평2동(4211061000)","15,172","15,172","1,337","1,506","2,194","2,170","2,257","2,460","1,648","988","515","91","6"
"강원도 춘천시 후평3동(4211061100)","21,391","21,391","1,797","2,075","2,688","2,913","3,176","3,493","2,796","1,527","802","123","1"
"강원도 춘천시 효자1동(4211062000)","4,624","4,624","346","411","549","502","707","778","646","439","210","36","0"
"강원도 춘천시 효자2동(4211063000)","11,998","11,998","434","738","2,631","1,292","1,466","1,839","1,688","1,181","637","84","8"
"강원도 춘천시 효자3동(4211064000)","4,599","4,599","153","248","1,046","624","517","700","641","410","227","31","2"
"강원도 춘천시 석사동(4211065000)","35,847","35,847","2,730","4,499","5,114","3,917","6,115","6,269","3,813","2,077","1,131","178","4"
"강원도 춘천시 퇴계동(4211066000)","49,709","49,709","4,542","6,092","6,240","6,419","8,561","8,297","5,330","2,598","1,392","229","9"
"강원도 춘천시 강남동(4211067500)","16,862","16,862","1,286","1,363","2,225","2,184","2,395","2,951","2,488","1,271","587","107","5"
"강원도 춘천시 신사우동(4211070500)","20,449","20,449","2,027","2,164","2,498","2,608","3,270","3,137","2,406","1,441","750","128","20"
"강원도 원주시 (4213000000)","352,201","352,201","28,703","36,252","45,222","45,415","57,451","60,360","43,651","21,586","11,702","1,754","105"
"강원도 원주시 문막읍(4213025000)","18,032","18,032","1,241","1,718","2,115","1,964","2,976","3,295","2,434","1,418","754","112","5"
"강원도 원주시 소초면(4213031000)","8,730","8,730","396","549","1,024","726","1,026","1,752","1,765","882","528","78","4"
"강원도 원주시 호저면(4213032000)","3,776","3,776","115","164","334","251","345","756","878","489","401","43","0"
"강원도 원주시 지정면(4213033000)","25,603","25,603","4,293","2,127","2,755","6,372","4,237","2,807","1,840","697","403","69","3"
"강원도 원주시 부론면(4213035000)","2,279","2,279","44","94","134","93","181","407","612","409","264","39","2"
"강원도 원주시 귀래면(4213036000)","2,194","2,194","52","73","141","131","172","477","560","341","206","38","3"
"강원도 원주시 흥업면(4213037000)","8,768","8,768","436","633","1,486","837","1,193","1,552","1,448","703","425","53","2"
"강원도 원주시 판부면(4213038000)","7,269","7,269","426","682","965","847","1,180","1,410","989","476","253","41","0"
"강원도 원주시 신림면(4213039000)","3,620","3,620","59","126","226","172","307","782","993","569","337","49","0"
"강원도 원주시 중앙동(4213051500)","2,816","2,816","59","111","190","214","294","619","639","372","260","53","5"
"강원도 원주시 원인동(4213052000)","5,225","5,225","229","374","760","530","652","1,016","868","481","280","31","4"
"강원도 원주시 개운동(4213053000)","12,973","12,973","740","1,333","1,687","1,263","1,789","2,476","1,920","1,110","570","80","5"
"강원도 원주시 명륜1동(4213054100)","8,852","8,852","412","811","1,257","797","1,192","1,801","1,372","771","382","53","4"
"강원도 원주시 명륜2동(4213054200)","15,840","15,840","795","1,770","2,175","1,432","2,480","3,146","2,238","1,054","653","94","3"
"강원도 원주시 단구동(4213055000)","42,975","42,975","3,404","5,253","6,278","5,384","7,901","7,396","4,193","2,048","976","134","8"
"강원도 원주시 일산동(4213056000)","8,795","8,795","403","676","1,679","919","1,071","1,468","1,328","766","405","73","7"
"강원도 원주시 학성동(4213057500)","5,001","5,001","180","310","605","441","630","977","954","545","304","52","3"
"강원도 원주시 단계동(4213059000)","27,769","27,769","2,000","2,451","4,337","3,896","4,072","5,260","3,552","1,350","725","116","10"
"강원도 원주시 우산동(4213060000)","13,713","13,713","1,098","1,272","1,962","1,693","2,139","2,341","1,783","916","438","67","4"
"강원도 원주시 태장1동(4213061000)","10,109","10,109","843","1,168","1,064","1,139","1,768","1,693","1,320","720","357","34","3"
"강원도 원주시 태장2동(4213062000)","25,202","25,202","1,885","2,774","3,021","2,907","4,279","4,604","3,191","1,579","852","107","3"
"강원도 원주시 봉산동(4213063500)","8,412","8,412","302","735","976","692","1,112","1,646","1,485","873","505","77","9"
"강원도 원주시 행구동(4213065000)","7,558","7,558","496","878","926","671","1,209","1,463","1,052","505","292","60","6"
"강원도 원주시 무실동(4213066000)","33,139","33,139","3,423","4,380","4,070","4,571","6,467","5,129","3,202","1,248","536","107","6"
"강원도 원주시 반곡관설동(4213067500)","43,551","43,551","5,372","5,790","5,055","7,473","8,779","6,087","3,035","1,264","596","94","6"
"강원도 강릉시 (4215000000)","212,863","212,863","13,790","19,472","25,047","21,964","32,497","36,634","32,700","19,449","9,619","1,585","106"
"강원도 강릉시 주문진읍(4215025000)","16,234","16,234","604","997","1,447","1,162","2,005","3,018","3,390","2,254","1,129","205","23"
"강원도 강릉시 성산면(4215031000)","3,395","3,395","124","193","304","198","399","691","684","434","313","50","5"
"강원도 강릉시 왕산면(4215032000)","1,601","1,601","31","43","102","75","122","332","450","287","137","22","0"
"강원도 강릉시 구정면(4215033000)","4,102","4,102","200","277","347","325","482","736","857","513","294","65","6"
"강원도 강릉시 강동면(4215034000)","4,342","4,342","106","199","419","301","443","804","937","668","388","70","7"
"강원도 강릉시 옥계면(4215035000)","3,585","3,585","117","169","262","235","329","714","840","565","310","41","3"
"강원도 강릉시 사천면(4215036000)","4,521","4,521","196","223","425","387","580","844","959","535","311","59","2"
"강원도 강릉시 연곡면(4215037000)","6,639","6,639","394","507","508","597","984","1,161","1,288","758","384","54","4"
"강원도 강릉시 홍제동(4215051000)","15,428","15,428","1,433","1,534","1,787","2,131","2,648","2,393","1,866","1,060","497","74","5"
"강원도 강릉시 중앙동(4215052000)","5,089","5,089","186","304","606","460","640","803","993","679","329","84","5"
"강원도 강릉시 옥천동(4215054000)","3,370","3,370","101","171","297","286","422","615","685","550","215","28","0"
"강원도 강릉시 교1동(4215055000)","26,015","26,015","1,841","3,167","3,500","2,632","4,605","4,443","3,070","1,776","849","125","7"
"강원도 강릉시 교2동(4215056000)","7,883","7,883","388","651","922","754","1,077","1,433","1,417","813","361","59","8"
"강원도 강릉시 포남1동(4215057100)","10,519","10,519","458","778","1,318","927","1,447","2,009","1,906","1,143","460","68","5"
"강원도 강릉시 포남2동(4215057200)","13,164","13,164","620","1,220","1,700","1,276","1,931","2,514","2,240","1,088","490","85","0"
"강원도 강릉시 초당동(4215058000)","4,820","4,820","301","416","570","537","738","948","707","357","211","35","0"
"강원도 강릉시 송정동(4215059000)","9,622","9,622","861","1,009","1,102","1,242","1,608","1,589","1,288","573","295","53","2"
"강원도 강릉시 내곡동(4215060000)","16,772","16,772","1,499","1,622","2,614","2,256","2,674","2,501","2,051","990","489","74","2"
"강원도 강릉시 강남동(4215061500)","18,281","18,281","993","1,645","2,007","1,706","2,658","3,189","2,849","2,070","1,010","140","14"
"강원도 강릉시 성덕동(4215064500)","28,783","28,783","2,591","3,575","3,412","3,436","5,279","4,567","3,175","1,727","880","133","8"
"강원도 강릉시 경포동(4215066500)","8,698","8,698","746","772","1,398","1,041","1,426","1,330","1,048","609","267","61","0"
"강원도 동해시 (4217000000)","90,454","90,454","6,782","8,871","9,323","9,451","14,747","15,627","13,406","8,051","3,666","500","30"
"강원도 동해시 천곡동(4217051000)","30,697","30,697","2,921","3,289","3,374","3,771","5,217","5,092","4,222","1,892","805","113","1"
"강원도 동해시 송정동(4217052000)","4,160","4,160","181","269","579","327","553","735","725","494","252","44","1"
"강원도 동해시 북삼동(4217053000)","19,470","19,470","1,549","2,638","2,155","2,029","3,776","3,498","2,089","1,188","479","69","0"
"강원도 동해시 부곡동(4217054000)","5,273","5,273","205","373","484","409","734","936","1,090","706","290","42","4"
"강원도 동해시 동호동(4217055000)","5,219","5,219","322","443","486","470","763","967","852","648","243","19","6"
"강원도 동해시 발한동(4217057000)","3,638","3,638","119","167","283","249","455","609","800","625","285","42","4"
"강원도 동해시 묵호동(4217059000)","3,187","3,187","96","166","195","205","418","500","688","595","285","34","5"
"강원도 동해시 북평동(4217060000)","12,095","12,095","1,091","1,126","1,252","1,449","2,007","2,068","1,632","914","493","61","2"
"강원도 동해시 망상동(4217063000)","3,724","3,724","185","200","283","322","476","647","703","553","310","40","5"
"강원도 동해시 삼화동(4217065000)","2,991","2,991","113","200","232","220","348","575","605","436","224","36","2"
"강원도 태백시 (4219000000)","43,203","43,203","2,728","3,912","3,690","3,986","6,542","7,506","7,585","4,881","2,051","260","62"
"강원도 태백시 황지동(4219051500)","6,527","6,527","517","581","617","641","953","1,132","1,099","658","274","41","14"
"강원도 태백시 황연동(4219052500)","4,528","4,528","201","321","348","315","614","838","988","638","219","38","8"
"강원도 태백시 삼수동(4219053500)","6,071","6,071","414","515","400","579","940","983","1,078","776","333","45","8"
"강원도 태백시 상장동(4219054000)","13,796","13,796","1,178","1,689","1,435","1,610","2,618","2,189","1,718","940","369","42","8"
"강원도 태백시 문곡소도동(4219058500)","3,957","3,957","167","273","284","292","534","777","891","511","201","22","5"
"강원도 태백시 장성동(4219059500)","3,536","3,536","129","236","306","269","396","760","707","463","237","26","7"
"강원도 태백시 구문소동(4219060500)","2,640","2,640","79","187","161","156","285","439","609","484","215","21","4"
"강원도 태백시 철암동(4219061500)","2,148","2,148","43","110","139","124","202","388","495","411","203","25","8"
"강원도 속초시 (4221000000)","82,059","82,059","5,910","7,554","8,924","9,288","12,524","15,133","12,229","6,750","3,119","594","34"
"강원도 속초시 영랑동(4221051000)","4,605","4,605","178","273","431","434","551","929","999","526","237","44","3"
"강원도 속초시 동명동(4221052000)","3,826","3,826","254","273","327","385","515","766","653","432","189","30","2"
"강원도 속초시 금호동(4221054000)","6,261","6,261","237","452","646","472","800","1,300","1,180","733","353","84","4"
"강원도 속초시 교동(4221056000)","9,751","9,751","574","912","1,081","993","1,439","1,805","1,630","856","376","81","4"
"강원도 속초시 노학동(4221057000)","21,359","21,359","1,404","2,291","2,423","2,200","3,486","4,029","3,020","1,596","760","143","7"
"강원도 속초시 조양동(4221058000)","28,562","28,562","2,939","2,971","3,363","4,052","4,834","4,761","3,170","1,644","708","114","6"
"강원도 속초시 청호동(4221059000)","4,511","4,511","243","254","388","510","547","873","840","498","291","62","5"
"강원도 속초시 대포동(4221060000)","3,184","3,184","81","128","265","242","352","670","737","465","205","36","3"
"강원도 삼척시 (4223000000)","65,753","65,753","3,988","5,186","7,402","6,019","9,075","11,480","10,842","7,238","3,912","561","50"
"강원도 삼척시 도계읍(4223025000)","10,188","10,188","348","733","1,944","596","1,134","1,713","1,809","1,254","578","64","15"
"강원도 삼척시 원덕읍(4223025300)","3,356","3,356","95","145","254","229","404","641","670","530","330","50","8"
"강원도 삼척시 원덕읍임원출장소(4223025400)","1,728","1,728","38","77","119","101","190","353","366","302","156","26","0"
"강원도 삼척시 근덕면(4223031000)","5,236","5,236","97","247","373","285","479","1,018","1,157","865","608","100","7"
"강원도 삼척시 하장면(4223032000)","1,346","1,346","30","42","69","77","154","301","358","190","111","14","0"
"강원도 삼척시 노곡면(4223033000)","716","716","7","11","33","25","65","145","172","143","96","19","0"
"강원도 삼척시 미로면(4223034000)","1,879","1,879","47","72","91","97","208","354","414","331","227","37","1"
"강원도 삼척시 가곡면(4223035000)","700","700","14","27","33","28","78","139","169","124","79","8","1"
"강원도 삼척시 신기면(4223036000)","679","679","22","10","25","45","76","132","150","128","83","7","1"
"강원도 삼척시 남양동(4223051000)","7,793","7,793","309","508","763","632","966","1,489","1,566","1,018","480","60","2"
"강원도 삼척시 교동(4223053000)","14,712","14,712","1,733","1,689","1,913","2,122","2,561","2,268","1,360","683","321","57","5"
"강원도 삼척시 정라동(4223054000)","9,184","9,184","690","837","999","1,001","1,545","1,535","1,282","832","391","64","8"
"강원도 삼척시 성내동(4223057000)","8,236","8,236","558","788","786","781","1,215","1,392","1,369","838","452","55","2"
"강원도 홍천군 (4272000000)","68,998","68,998","3,882","5,293","6,759","6,226","8,365","12,918","13,314","7,324","4,263","612","42"
"강원도 홍천군 홍천읍(4272025000)","34,810","34,810","2,739","3,633","4,089","4,007","5,352","6,042","4,851","2,535","1,347","199","16"
"강원도 홍천군 화촌면(4272031000)","4,582","4,582","124","162","339","312","389","843","1,200","703","424","81","5"
"강원도 홍천군 두촌면(4272032000)","2,412","2,412","39","114","146","100","165","469","659","420","255","45","0"
"강원도 홍천군 내촌면(4272033000)","2,376","2,376","49","107","121","98","199","499","671","375","232","25","0"
"강원도 홍천군 서석면(4272034000)","3,777","3,777","136","207","274","210","335","826","926","494","323","42","4"
"강원도 홍천군 동면(4272035000)","3,938","3,938","93","166","258","202","350","789","1,065","603","366","39","7"
"강원도 홍천군 남면(4272036000)","6,148","6,148","364","420","792","581","570","1,036","1,166","698","462","58","1"
"강원도 홍천군 서면(4272037000)","3,775","3,775","94","136","258","248","358","762","1,021","555","289","51","3"
"강원도 홍천군 북방면(4272038000)","3,928","3,928","125","192","293","264","351","863","928","520","348","39","5"
"강원도 홍천군 내면(4272039000)","3,252","3,252","119","156","189","204","296","789","827","421","217","33","1"
"강원도 횡성군 (4273000000)","46,442","46,442","2,238","3,645","3,887","3,525","5,159","8,870","9,820","5,625","3,134","507","32"
"강원도 횡성군 횡성읍(4273025000)","20,829","20,829","1,509","2,055","2,286","2,093","2,997","3,659","3,179","1,828","1,024","189","10"
"강원도 횡성군 우천면(4273031000)","4,486","4,486","131","212","372","252","426","919","1,089","663","364","52","6"
"강원도 횡성군 안흥면(4273032000)","3,115","3,115","69","580","134","126","182","577","748","426","229","40","4"
"강원도 횡성군 둔내면(4273033000)","5,853","5,853","261","384","403","440","647","1,225","1,321","727","388","55","2"
"강원도 횡성군 갑천면(4273034000)","2,358","2,358","40","83","123","119","171","458","696","400","233","31","4"
"강원도 횡성군 청일면(4273035000)","2,433","2,433","40","68","138","87","175","532","719","403","233","36","2"
"강원도 횡성군 공근면(4273036000)","3,506","3,506","81","127","217","194","273","737","933","550","332","59","3"
"강원도 횡성군 서원면(4273037000)","2,129","2,129","68","69","125","136","154","409","627","305","200","35","1"
"강원도 횡성군 강림면(4273038000)","1,733","1,733","39","67","89","78","134","354","508","323","131","10","0"
"강원도 영월군 (4275000000)","38,840","38,840","1,720","3,008","3,290","2,867","4,745","7,451","7,866","4,896","2,602","345","50"
"강원도 영월군 영월읍(4275025000)","21,224","21,224","1,331","2,240","2,322","1,964","3,041","3,777","3,260","2,099","1,032","139","19"
"강원도 영월군 상동읍(4275025300)","1,103","1,103","20","31","43","52","105","240","267","211","118","14","2"
"강원도 영월군 중동면(4275031000)","1,484","1,484","24","57","69","63","122","357","370","269","137","15","1"
"강원도 영월군 김삿갓면(4275032500)","1,751","1,751","30","80","95","60","171","419","464","263","144","22","3"
"강원도 영월군 북면(4275033000)","2,159","2,159","35","81","135","105","210","458","548","349","209","23","6"
"강원도 영월군 남면(4275034000)","2,272","2,272","51","96","116","125","228","448","622","342","207","32","5"
"강원도 영월군 한반도면(4275035500)","1,272","1,272","40","54","103","86","147","273","298","162","96","12","1"
"강원도 영월군 한반도면쌍용출장(4275035900)","1,749","1,749","47","78","104","108","177","337","421","292","157","27","1"
"강원도 영월군 주천면(4275036000)","3,806","3,806","97","206","220","201","358","741","998","556","377","42","10"
"강원도 영월군 무릉도원면(4275038000)","2,020","2,020","45","85","83","103","186","401","618","353","125","19","2"
"강원도 평창군 (4276000000)","41,739","41,739","1,950","2,988","3,396","3,243","5,409","8,151","8,588","5,040","2,590","343","41"
"강원도 평창군 평창읍(4276025000)","8,588","8,588","435","733","782","715","1,109","1,608","1,651","921","555","71","8"
"강원도 평창군 미탄면(4276031000)","1,664","1,664","42","79","105","73","190","361","412","261","115","26","0"
"강원도 평창군 방림면(4276032000)","870","870","27","46","48","40","75","180","235","138","72","9","0"
"강원도 평창군 방림면계촌출장소(4276032500)","1,629","1,629","49","72","93","87","147","369","447","234","113","17","1"
"강원도 평창군 대화면(4276033000)","5,338","5,338","234","346","409","349","659","986","1,184","707","402","57","5"
"강원도 평창군 봉평면(4276034000)","5,696","5,696","285","441","424","502","775","1,163","1,164","618","297","27","0"
"강원도 평창군 용평면(4276035000)","3,132","3,132","134","220","212","186","397","672","683","366","235","26","1"
"강원도 평창군 진부면(4276036000)","8,839","8,839","439","684","747","651","1,154","1,682","1,754","1,126","504","79","19"
"강원도 평창군 대관령면(4276038000)","5,983","5,983","305","367","576","640","903","1,130","1,058","669","297","31","7"
"강원도 정선군 (4277000000)","37,046","37,046","1,798","2,610","2,868","3,242","4,988","7,140","7,324","4,539","2,147","342","48"
"강원도 정선군 정선읍(4277025000)","10,767","10,767","659","1,025","1,015","967","1,671","1,947","1,742","1,112","514","101","14"
"강원도 정선군 고한읍(4277025300)","4,737","4,737","257","243","347","732","708","793","875","546","198","29","9"
"강원도 정선군 사북읍(4277025600)","4,856","4,856","308","388","404","517","753","931","892","477","165","15","6"
"강원도 정선군 신동읍(4277025900)","1,862","1,862","72","129","123","105","216","391","397","277","138","14","0"
"강원도 정선군 신동읍함백출장소(4277026000)","1,675","1,675","42","109","119","99","182","333","358","275","121","27","10"
"강원도 정선군 남면(4277032000)","3,295","3,295","157","187","233","313","435","665","760","364","155","24","2"
"강원도 정선군 북평면(4277034000)","2,598","2,598","104","178","179","151","313","522","538","354","217","40","2"
"강원도 정선군 임계면(4277035000)","3,541","3,541","113","160","202","178","333","760","846","558","338","50","3"
"강원도 정선군 화암면(4277036000)","1,691","1,691","35","96","124","69","177","389","401","250","129","20","1"
"강원도 정선군 여량면(4277037000)","2,024","2,024","51","95","122","111","200","409","515","326","172","22","1"
"강원도 철원군 (4278000000)","44,987","44,987","3,371","3,889","5,937","4,774","5,795","7,348","6,497","4,819","2,159","352","46"
"강원도 철원군 철원읍(4278025000)","5,483","5,483","419","510","700","583","698","910","737","615","271","38","2"
"강원도 철원군 김화읍(4278025300)","3,647","3,647","374","256","582","471","383","500","477","376","193","33","2"
"강원도 철원군 갈말읍(4278025600)","12,110","12,110","815","1,030","1,663","1,230","1,650","2,080","1,778","1,237","523","94","10"
"강원도 철원군 동송읍(4278025900)","15,533","15,533","1,187","1,484","1,834","1,624","2,105","2,581","2,246","1,621","714","115","22"
"강원도 철원군 서면(4278031000)","1,993","1,993","156","101","425","234","197","243","269","228","115","20","5"
"강원도 철원군 서면와수출장소(4278031500)","3,873","3,873","244","365","446","383","556","655","579","400","205","36","4"
"강원도 철원군 근남면(4278032000)","2,236","2,236","176","139","285","245","196","364","389","300","125","16","1"
"강원도 철원군 근북면(4278033000)","112","112","0","4","2","4","10","15","22","42","13","0","0"
"강원도 화천군 (4279000000)","24,717","24,717","1,856","1,818","3,828","2,847","2,773","3,979","3,633","2,461","1,305","202","15"
"강원도 화천군 화천읍(4279025000)","8,450","8,450","744","757","1,211","1,031","1,171","1,339","1,021","748","374","51","3"
"강원도 화천군 간동면(4279031000)","2,737","2,737","59","156","280","143","217","602","591","419","228","41","1"
"강원도 화천군 하남면(4279032000)","2,902","2,902","134","278","283","255","379","545","484","327","188","24","5"
"강원도 화천군 상서면(4279033000)","4,242","4,242","320","169","1,062","540","334","531","596","412","237","39","2"
"강원도 화천군 사내면(4279034000)","6,386","6,386","599","458","992","878","672","962","941","555","278","47","4"
"강원도 양구군 (4280000000)","22,332","22,332","1,787","2,111","3,064","2,608","2,576","3,604","3,254","2,062","1,106","147","13"
